timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
128954.478043852,standard,0.0,0.0,1.0,72.0,18.0,60.0,1.0,5.0,72.0,-5.962499618530273,2.0250000953674316,1.0,1.0,5.0,5.0,500.0,514.0,14377.0,3598.0,1767.0,465.0,567.0,159.0,27.0,133.0,32.0,89.0,145.0,134.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,704.0
128954.938626922,standard,1.0,0.0,1.0,82.0,1.0,78.0,1.0,5.0,78.0,9.0,20.024999618530273,1.0,1.0,5.0,5.0,520.0,538.0,16991.0,4515.0,1848.0,522.0,621.0,179.0,54.0,115.0,0.0,96.0,107.0,52.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,837.0
128955.385057138,standard,2.0,0.0,1.0,62.0,13.0,69.0,1.0,5.0,84.0,12.037500381469727,-7.987499713897705,1.0,1.0,5.0,5.0,524.0,501.0,11647.0,3483.0,1766.0,533.0,499.0,133.0,28.0,130.0,0.0,73.0,122.0,21.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,888.0
128955.725050684,standard,3.0,0.0,1.0,67.0,5.0,47.0,1.0,5.0,70.0,2.0250000953674316,0.0,1.0,1.0,5.0,5.0,511.0,510.0,9098.0,2291.0,1359.0,312.0,460.0,101.0,100.0,125.0,91.0,35.0,36.0,84.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,923.0
128956.007602377,standard,4.0,0.0,1.0,85.0,12.0,72.0,1.0,5.0,77.0,0.0,-9.0,1.0,1.0,5.0,5.0,508.0,498.0,15059.0,4126.0,2792.0,736.0,617.0,161.0,50.0,2.0,11.0,61.0,8.0,154.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,946.0
128956.247702795,standard,5.0,0.0,1.0,24.0,59.0,23.0,1.0,5.0,74.0,-3.0375001430511475,-12.037500381469727,1.0,1.0,5.0,5.0,504.0,495.0,6719.0,2069.0,972.0,244.0,340.0,94.0,48.0,12.0,82.0,125.0,159.0,81.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,960.0
128956.650668257,standard,6.0,0.0,1.0,11.0,29.0,70.0,1.0,5.0,74.0,22.94999885559082,-12.037500381469727,1.0,1.0,5.0,5.0,540.0,495.0,5941.0,3017.0,783.0,461.0,202.0,92.0,141.0,121.0,31.0,149.0,31.0,25.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,950.0
128957.236379166,standard,7.0,0.0,1.0,31.0,40.0,38.0,1.0,5.0,74.0,9.0,22.05000114440918,1.0,1.0,5.0,5.0,521.0,541.0,6728.0,2058.0,1365.0,399.0,361.0,113.0,170.0,136.0,44.0,89.0,4.0,114.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,930.0
128957.543561088,standard,8.0,0.0,1.0,80.0,16.0,74.0,1.0,5.0,74.0,13.049999237060547,12.037500381469727,1.0,1.0,5.0,5.0,526.0,528.0,14094.0,3686.0,2066.0,709.0,505.0,123.0,89.0,76.0,51.0,35.0,91.0,98.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,948.0
128957.998232865,standard,9.0,0.0,1.0,66.0,47.0,28.0,1.0,5.0,74.0,-12.037500381469727,19.012500762939453,1.0,1.0,5.0,5.0,491.0,537.0,11534.0,2028.0,1951.0,403.0,452.0,90.0,21.0,60.0,36.0,133.0,53.0,166.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,941.0
128958.436501135,standard,10.0,0.0,1.0,64.0,62.0,32.0,1.0,5.0,82.0,-13.949999809265137,-9.0,1.0,1.0,5.0,5.0,488.0,499.0,12600.0,2618.0,2433.0,505.0,674.0,154.0,70.0,53.0,138.0,124.0,163.0,27.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,940.0
128958.915638261,standard,11.0,0.0,1.0,73.0,36.0,36.0,1.0,5.0,76.0,-4.949999809265137,16.987499237060547,1.0,1.0,5.0,5.0,500.0,534.0,14780.0,3039.0,2026.0,440.0,497.0,108.0,168.0,138.0,121.0,149.0,94.0,38.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,937.0
128959.335611212,standard,12.0,0.0,1.0,40.0,63.0,18.0,1.0,5.0,70.0,4.050000190734863,-2.0250000953674316,1.0,1.0,5.0,5.0,513.0,509.0,12270.0,2569.0,1171.0,275.0,579.0,111.0,70.0,57.0,3.0,146.0,63.0,17.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,940.0
128959.7448206,standard,13.0,0.0,1.0,47.0,78.0,24.0,1.0,5.0,83.0,-6.974999904632568,13.949999809265137,1.0,1.0,5.0,5.0,498.0,530.0,12415.0,3074.0,1299.0,296.0,462.0,100.0,146.0,89.0,89.0,49.0,25.0,147.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,942.0
128960.197635548,standard,14.0,0.0,1.0,26.0,81.0,84.0,1.0,5.0,85.0,22.94999885559082,15.97499942779541,1.0,1.0,5.0,5.0,540.0,533.0,14965.0,5764.0,1934.0,772.0,616.0,199.0,108.0,116.0,117.0,166.0,134.0,162.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,940.0
128960.513004714,standard,15.0,0.0,1.0,30.0,79.0,81.0,1.0,5.0,79.0,12.037500381469727,12.037500381469727,1.0,1.0,5.0,5.0,525.0,529.0,16905.0,6281.0,1879.0,829.0,588.0,205.0,80.0,163.0,94.0,77.0,86.0,109.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,951.0
128960.812031155,standard,16.0,0.0,1.0,15.0,33.0,47.0,1.0,5.0,66.0,7.987499713897705,21.037500381469727,1.0,1.0,5.0,5.0,519.0,540.0,5638.0,2356.0,715.0,324.0,235.0,103.0,129.0,48.0,25.0,128.0,140.0,36.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,958.0
128961.192922496,standard,17.0,0.0,1.0,76.0,85.0,60.0,1.0,5.0,94.0,-13.949999809265137,22.05000114440918,1.0,1.0,5.0,5.0,487.0,541.0,19833.0,4818.0,3775.0,932.0,730.0,175.0,160.0,26.0,167.0,1.0,77.0,144.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,953.0
128961.5492731,standard,18.0,0.0,1.0,69.0,64.0,50.0,1.0,5.0,75.0,4.050000190734863,23.962501525878906,1.0,1.0,5.0,5.0,512.0,544.0,19327.0,4959.0,2014.0,631.0,676.0,164.0,2.0,138.0,9.0,57.0,7.0,140.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,953.0
128962.077639312,standard,19.0,0.0,1.0,38.0,67.0,49.0,1.0,5.0,80.0,13.949999809265137,-6.974999904632568,1.0,1.0,5.0,5.0,527.0,502.0,10336.0,3014.0,1643.0,514.0,476.0,150.0,59.0,89.0,99.0,73.0,93.0,8.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,937.0
128962.416379719,standard,20.0,0.0,1.0,85.0,28.0,23.0,1.0,5.0,78.0,7.987499713897705,4.949999809265137,1.0,1.0,5.0,5.0,519.0,518.0,12676.0,1830.0,2104.0,339.0,567.0,81.0,105.0,45.0,70.0,106.0,24.0,13.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,948.0
128962.73516086,standard,21.0,0.0,1.0,62.0,83.0,67.0,1.0,5.0,82.0,2.0250000953674316,14.96250057220459,1.0,1.0,5.0,5.0,510.0,531.0,17585.0,5490.0,2686.0,883.0,797.0,240.0,14.0,28.0,70.0,169.0,68.0,149.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,955.0
128963.05500365,standard,22.0,0.0,1.0,68.0,75.0,53.0,1.0,5.0,83.0,-11.02500057220459,18.0,1.0,1.0,5.0,5.0,493.0,535.0,17680.0,4537.0,2573.0,696.0,593.0,158.0,110.0,48.0,41.0,89.0,148.0,84.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,957.0
128963.334989969,standard,23.0,0.0,1.0,48.0,15.0,39.0,1.0,5.0,67.0,-9.0,9.0,1.0,1.0,5.0,5.0,495.0,525.0,7421.0,2020.0,1450.0,346.0,309.0,77.0,109.0,142.0,111.0,165.0,37.0,18.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,962.0
128963.778938191,standard,24.0,0.0,1.0,59.0,65.0,83.0,1.0,5.0,90.0,13.049999237060547,0.0,1.0,1.0,5.0,5.0,525.0,512.0,12873.0,3957.0,2679.0,898.0,775.0,238.0,65.0,2.0,21.0,35.0,15.0,51.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,949.0
128964.221980228,standard,25.0,0.0,1.0,43.0,76.0,24.0,1.0,5.0,77.0,-11.02500057220459,-6.974999904632568,1.0,1.0,5.0,5.0,493.0,502.0,9565.0,2395.0,1907.0,451.0,672.0,138.0,82.0,38.0,138.0,66.0,111.0,66.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,943.0
