timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
151430.165289156,standard,0.0,46.0,1.0,69.0,5.0,18.0,1.0,5.0,70.0,4.050000190734863,-13.049999237060547,1.0,1.0,5.0,5.0,512.0,493.0,10601.0,1472.0,172.0,180.0,391.0,47.0,139.0,56.0,165.0,40.0,49.0,86.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1023.0,708.0
151430.66893484,standard,1.0,46.0,1.0,83.0,69.0,48.0,1.0,5.0,80.0,6.974999904632568,22.05000114440918,1.0,1.0,5.0,5.0,515.0,540.0,18033.0,4190.0,346.0,760.0,715.0,136.0,130.0,33.0,156.0,91.0,122.0,17.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1023.0,839.0
151431.213640224,standard,2.0,46.0,1.0,73.0,13.0,50.0,1.0,5.0,85.0,18.0,-10.012499809265137,1.0,1.0,5.0,5.0,530.0,498.0,11844.0,2569.0,237.0,499.0,461.0,96.0,5.0,44.0,107.0,144.0,89.0,25.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1023.0,884.0
151431.837880708,standard,3.0,46.0,1.0,50.0,54.0,80.0,1.0,5.0,80.0,-13.049999237060547,12.037500381469727,1.0,1.0,5.0,5.0,489.0,528.0,12130.0,5058.0,285.0,620.0,427.0,185.0,91.0,50.0,54.0,138.0,83.0,120.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1023.0,898.0
151432.165806732,standard,4.0,46.0,1.0,40.0,58.0,52.0,1.0,5.0,74.0,-11.02500057220459,-3.0375001430511475,1.0,1.0,5.0,5.0,491.0,507.0,11802.0,4265.0,224.0,501.0,467.0,165.0,66.0,23.0,31.0,160.0,81.0,47.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1023.0,933.0
151432.575652361,standard,5.0,46.0,1.0,70.0,72.0,12.0,1.0,5.0,89.0,4.949999809265137,7.987499713897705,1.0,1.0,5.0,5.0,513.0,521.0,16559.0,3085.0,193.0,386.0,661.0,115.0,77.0,94.0,13.0,131.0,65.0,97.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1023.0,943.0
151432.954412605,standard,6.0,46.0,1.0,31.0,55.0,33.0,1.0,5.0,78.0,-3.0375001430511475,22.94999885559082,1.0,1.0,5.0,5.0,502.0,543.0,8992.0,2495.0,210.0,316.0,328.0,86.0,6.0,128.0,1.0,130.0,24.0,92.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1023.0,950.0
151433.466338049,standard,7.0,46.0,1.0,48.0,61.0,77.0,1.0,5.0,87.0,-7.987499713897705,-11.02500057220459,1.0,1.0,5.0,5.0,496.0,496.0,14120.0,4922.0,157.0,791.0,625.0,214.0,65.0,105.0,153.0,35.0,139.0,61.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1023.0,941.0
151434.027396761,standard,8.0,46.0,1.0,40.0,29.0,71.0,1.0,5.0,75.0,22.05000114440918,4.050000190734863,1.0,1.0,5.0,5.0,538.0,515.0,6489.0,2692.0,213.0,480.0,536.0,189.0,64.0,110.0,65.0,152.0,151.0,22.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1023.0,934.0
151434.31617906,standard,9.0,46.0,1.0,0.0,75.0,35.0,1.0,5.0,67.0,23.962501525878906,-5.962499618530273,1.0,1.0,5.0,5.0,540.0,504.0,7748.0,2735.0,77.0,429.0,277.0,93.0,2.0,84.0,112.0,22.0,114.0,28.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1023.0,954.0
