timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
150618.078009987,standard,0.0,44.0,1.0,79.0,42.0,36.0,1.0,5.0,74.0,-1.0125000476837158,1.0125000476837158,1.0,1.0,5.0,5.0,506.0,513.0,15469.0,2945.0,917.0,408.0,711.0,138.0,135.0,84.0,129.0,85.0,154.0,111.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,1023.0,708.0
150618.352276115,standard,1.0,44.0,1.0,42.0,48.0,2.0,1.0,5.0,75.0,0.0,10.012499809265137,1.0,1.0,5.0,5.0,507.0,526.0,8829.0,1488.0,517.0,220.0,402.0,73.0,93.0,98.0,104.0,153.0,141.0,103.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,1023.0,857.0
150618.774210667,standard,2.0,44.0,1.0,74.0,58.0,48.0,1.0,5.0,88.0,20.024999618530273,2.0250000953674316,1.0,1.0,5.0,5.0,536.0,516.0,15795.0,3554.0,1177.0,434.0,648.0,136.0,104.0,95.0,107.0,91.0,54.0,27.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,1023.0,903.0
150619.106058953,standard,3.0,44.0,1.0,45.0,37.0,71.0,1.0,5.0,71.0,7.987499713897705,6.974999904632568,1.0,1.0,5.0,5.0,519.0,522.0,12899.0,4366.0,833.0,573.0,449.0,149.0,15.0,125.0,156.0,118.0,94.0,121.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,1023.0,934.0
150619.462310264,standard,4.0,44.0,1.0,51.0,69.0,20.0,1.0,5.0,78.0,13.949999809265137,21.037500381469727,1.0,1.0,5.0,5.0,527.0,541.0,11746.0,2576.0,991.0,445.0,521.0,120.0,133.0,38.0,81.0,107.0,30.0,21.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,1023.0,946.0
150619.990470815,standard,5.0,44.0,1.0,72.0,48.0,72.0,1.0,5.0,83.0,2.0250000953674316,-7.987499713897705,1.0,1.0,5.0,5.0,511.0,502.0,15755.0,4695.0,1325.0,691.0,781.0,227.0,149.0,67.0,49.0,158.0,100.0,79.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,1023.0,938.0
150620.347039622,standard,6.0,44.0,1.0,85.0,48.0,31.0,1.0,5.0,76.0,-10.012499809265137,0.0,1.0,1.0,5.0,5.0,494.0,512.0,14207.0,2657.0,1125.0,368.0,714.0,131.0,35.0,39.0,85.0,139.0,48.0,90.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,1023.0,949.0
150620.736081804,standard,7.0,44.0,1.0,48.0,40.0,78.0,1.0,5.0,80.0,-9.0,22.94999885559082,1.0,1.0,5.0,5.0,494.0,544.0,11619.0,3873.0,923.0,660.0,511.0,170.0,139.0,99.0,149.0,150.0,13.0,102.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,1023.0,952.0
150621.346319731,standard,8.0,44.0,1.0,15.0,52.0,26.0,1.0,5.0,75.0,13.949999809265137,-4.949999809265137,1.0,1.0,5.0,5.0,527.0,506.0,5975.0,1983.0,402.0,283.0,242.0,79.0,106.0,111.0,99.0,87.0,159.0,54.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,1023.0,933.0
150621.628866647,standard,9.0,44.0,1.0,48.0,51.0,55.0,1.0,5.0,78.0,9.0,1.0125000476837158,1.0,1.0,5.0,5.0,522.0,514.0,9331.0,3319.0,757.0,580.0,586.0,173.0,106.0,42.0,110.0,162.0,127.0,164.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,1023.0,954.0
