timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
155082.143454843,standard,0.0,55.0,1.0,26.0,65.0,25.0,1.0,5.0,71.0,19.012500762939453,5.962499618530273,1.0,1.0,5.0,5.0,533.0,518.0,8607.0,2433.0,1155.0,51.0,379.0,106.0,143.0,52.0,162.0,159.0,151.0,149.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,1023.0,708.0
155082.538521733,standard,1.0,55.0,1.0,75.0,80.0,28.0,1.0,5.0,75.0,5.962499618530273,18.0,1.0,1.0,5.0,5.0,517.0,535.0,21104.0,3964.0,2356.0,58.0,905.0,164.0,91.0,71.0,10.0,151.0,95.0,140.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,1023.0,847.0
155082.866341621,standard,2.0,55.0,1.0,46.0,67.0,13.0,1.0,5.0,76.0,-6.974999904632568,22.05000114440918,1.0,1.0,5.0,5.0,499.0,541.0,11046.0,2276.0,1340.0,50.0,517.0,111.0,36.0,94.0,92.0,166.0,82.0,85.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,1023.0,908.0
155083.204350165,standard,3.0,55.0,1.0,35.0,44.0,59.0,1.0,5.0,72.0,-1.0125000476837158,10.012499809265137,1.0,1.0,5.0,5.0,506.0,525.0,8000.0,3053.0,1528.0,66.0,435.0,140.0,163.0,0.0,7.0,75.0,140.0,121.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,1023.0,936.0
155083.583120851,standard,4.0,55.0,1.0,57.0,44.0,36.0,1.0,5.0,80.0,10.012499809265137,-2.0250000953674316,1.0,1.0,5.0,5.0,521.0,509.0,11722.0,2648.0,1637.0,49.0,601.0,124.0,154.0,169.0,154.0,98.0,20.0,127.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,1023.0,945.0
155084.092219979,standard,5.0,55.0,1.0,6.0,36.0,57.0,1.0,5.0,78.0,-4.050000190734863,22.94999885559082,1.0,1.0,5.0,5.0,502.0,542.0,4728.0,2616.0,772.0,49.0,192.0,88.0,161.0,126.0,109.0,22.0,137.0,137.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,1023.0,939.0
155084.289719201,standard,6.0,55.0,1.0,70.0,48.0,45.0,1.0,5.0,80.0,-3.0375001430511475,22.94999885559082,1.0,1.0,5.0,5.0,502.0,541.0,17216.0,3939.0,2252.0,69.0,623.0,129.0,41.0,145.0,116.0,46.0,45.0,166.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,1023.0,964.0
155084.785277816,standard,7.0,55.0,1.0,54.0,30.0,33.0,1.0,5.0,75.0,4.949999809265137,-5.962499618530273,1.0,1.0,5.0,5.0,514.0,503.0,7809.0,1766.0,1386.0,45.0,450.0,85.0,150.0,87.0,64.0,44.0,23.0,127.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,1023.0,948.0
155085.246029506,standard,8.0,55.0,1.0,36.0,66.0,20.0,1.0,5.0,75.0,22.05000114440918,10.012499809265137,1.0,1.0,5.0,5.0,538.0,524.0,8113.0,1800.0,1406.0,46.0,372.0,89.0,68.0,66.0,0.0,8.0,41.0,150.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,1023.0,945.0
155085.698639775,standard,9.0,55.0,1.0,46.0,59.0,71.0,1.0,5.0,80.0,13.949999809265137,-13.949999809265137,1.0,1.0,5.0,5.0,528.0,491.0,10779.0,3029.0,2031.0,80.0,465.0,169.0,150.0,151.0,141.0,111.0,122.0,46.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,1023.0,945.0
