timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
155488.147345745,standard,0.0,56.0,1.0,11.0,16.0,62.0,1.0,5.0,68.0,19.012500762939453,-4.949999809265137,1.0,1.0,5.0,5.0,534.0,504.0,3295.0,1840.0,727.0,468.0,167.0,49.0,63.0,53.0,84.0,66.0,133.0,89.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1023.0,708.0
155488.438194143,standard,1.0,56.0,1.0,50.0,68.0,15.0,1.0,5.0,75.0,22.05000114440918,-13.949999809265137,1.0,1.0,5.0,5.0,539.0,491.0,11252.0,2475.0,1817.0,333.0,339.0,25.0,24.0,63.0,154.0,156.0,154.0,35.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1023.0,855.0
155488.990870482,standard,2.0,56.0,1.0,3.0,37.0,60.0,1.0,5.0,71.0,13.049999237060547,21.037500381469727,1.0,1.0,5.0,5.0,527.0,539.0,5170.0,3015.0,806.0,418.0,283.0,71.0,47.0,3.0,101.0,74.0,81.0,12.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1023.0,890.0
155489.347395773,standard,3.0,56.0,1.0,78.0,22.0,60.0,1.0,5.0,81.0,6.974999904632568,6.974999904632568,1.0,1.0,5.0,5.0,517.0,522.0,12810.0,3174.0,2390.0,579.0,681.0,70.0,9.0,1.0,168.0,8.0,148.0,35.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1023.0,927.0
155489.695510778,standard,4.0,56.0,1.0,85.0,57.0,75.0,1.0,5.0,73.0,10.012499809265137,-9.0,1.0,1.0,5.0,5.0,521.0,498.0,14805.0,4206.0,2721.0,738.0,895.0,118.0,118.0,73.0,26.0,121.0,109.0,43.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1023.0,944.0
155490.132474278,standard,5.0,56.0,1.0,45.0,45.0,6.0,1.0,5.0,74.0,16.987499237060547,2.0250000953674316,1.0,1.0,5.0,5.0,531.0,512.0,8296.0,1365.0,1216.0,206.0,329.0,27.0,13.0,55.0,82.0,144.0,3.0,50.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1023.0,945.0
155490.453237097,standard,6.0,56.0,1.0,65.0,40.0,65.0,1.0,5.0,82.0,3.0375001430511475,4.050000190734863,1.0,1.0,5.0,5.0,512.0,516.0,14421.0,3958.0,2336.0,642.0,547.0,100.0,124.0,146.0,134.0,26.0,117.0,31.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1023.0,956.0
155490.68672621,standard,7.0,56.0,1.0,30.0,59.0,81.0,1.0,5.0,69.0,-2.0250000953674316,4.050000190734863,1.0,1.0,5.0,5.0,505.0,516.0,11437.0,3986.0,1964.0,865.0,695.0,115.0,159.0,37.0,83.0,77.0,72.0,52.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1023.0,968.0
155490.993916814,standard,8.0,56.0,1.0,61.0,26.0,73.0,1.0,5.0,77.0,-9.0,-3.0375001430511475,1.0,1.0,5.0,5.0,495.0,507.0,13162.0,3840.0,1853.0,503.0,546.0,74.0,127.0,73.0,29.0,113.0,22.0,142.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1023.0,966.0
155491.473134127,standard,9.0,56.0,1.0,78.0,14.0,61.0,1.0,5.0,77.0,22.94999885559082,-5.962499618530273,1.0,1.0,5.0,5.0,539.0,502.0,14060.0,3284.0,2159.0,479.0,484.0,55.0,115.0,12.0,81.0,156.0,70.0,26.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1023.0,952.0
