restart: 0,restart: 1,restart: 2,restart: 3,restart: 4,restart: 5,restart: 6,restart: 7,restart: 8,restart: 9
0.47646666,0.4045,0.41333333,0.40606666,0.47503334,0.49273333,0.53243333,0.3392,0.4373,0.43196666
0.7345667,0.7425333,0.7433,0.7342333,0.7403333,0.7449,0.7555,0.71356666,0.73856664,0.7297
0.78693336,0.79263335,0.79146665,0.7920667,0.78723335,0.7827333,0.7933667,0.78533334,0.7894667,0.78326666
0.8002667,0.8019,0.80163336,0.8046333,0.7984667,0.7976,0.8011,0.8023,0.80086666,0.7971333
0.8025333,0.80333334,0.80303335,0.8070667,0.8005667,0.8010333,0.8021,0.80646664,0.8023667,0.7992333
0.8029,0.80336666,0.803,0.8073,0.8007333,0.8017333,0.8020667,0.8071,0.8024333,0.79933333
0.8029,0.80336666,0.80303335,0.8073,0.8007333,0.8018,0.8021,0.8071,0.8024333,0.79933333
0.8029,0.80336666,0.803,0.8073,0.8007333,0.8018,0.8021,0.8071,0.8024333,0.79933333
0.8029,0.80336666,0.803,0.80723333,0.80076665,0.8018,0.8020667,0.8071,0.8024333,0.79933333
0.8029,0.80336666,0.803,0.80726665,0.80076665,0.8018,0.8021,0.8071,0.8024333,0.79933333
0.8029,0.80336666,0.80303335,0.80726665,0.8007333,0.8018,0.8020667,0.8071,0.8024333,0.79933333
